STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AK,1991Q3,122949.032734748,116269.390001433,6679.64273331488,5.43285504955995%,0.809216470463846,0.304547168888233
AK,1991Q4,123941.281359775,116740.594210613,7200.68714916268,5.80975690275511%,0.815747176011562,0.328941790715654
AK,1992Q1,124615.515252195,117458.127839234,7157.3874129607,5.74357647077548%,0.820184796695152,0.328045588530457
AK,1992Q2,125142.20108279,118301.495201321,6840.70588146884,5.46634614245217%,0.823651296913962,0.313929829534379
AK,1992Q3,125624.363352231,119148.133738037,6476.22961419365,5.15523377900458%,0.826824755388495,0.297408616762964
AK,1992Q4,126175.389424563,119866.619953335,6308.76947122815,5%,0.830451456334959,0.289814585766266
AK,1993Q1,126902.535251638,120557.408489056,6345.12676258193,5%,0.835237328713216,0.300146417760406
AK,1993Q2,127831.947639797,121440.350257807,6391.59738198986,5%,0.841354463558625,0.326138933622586
AK,1993Q3,128889.857020493,122445.364169468,6444.49285102467,5%,0.848317330008859,0.35997296052518
AK,1993Q4,129964.97763055,123166.043084912,6798.9345456382,5.23135899347088%,0.855393476002379,0.389425662269612
AK,1994Q1,130899.607693592,123959.733943873,6939.87374971906,5.30167650766673%,0.861544952138313,0.397473676153905
AK,1994Q2,131732.902379667,124920.569026787,6812.33335288064,5.17132260036814%,0.867029466897995,0.390231064003307
AK,1994Q3,132579.579107665,125923.787976746,6655.79113091966,5.0202234580294%,0.87260205855012,0.381335322878533
AK,1994Q4,133522.231266657,126846.119703324,6676.11156333285,5%,0.878806333899077,0.382588937882245
AK,1995Q1,134649.681936909,127917.197840064,6732.48409684545,5%,0.886226901850773,0.404544621202722
AK,1995Q2,135858.72058887,129065.784559427,6792.93602944352,5%,0.89418445929415,0.441931352336782
AK,1995Q3,137067.306551051,130213.941223499,6853.36532755257,5%,0.902139037258813,0.489637691531185
AK,1995Q4,138219.237414806,131308.275544066,6910.96187074031,5%,0.909720727061911,0.54269800175347
